Surfactant,Chain,Counter Ion,CMC / mM,Source
CO2Na,C7,Na+,390,StevenAbbott
CO2Na,C8,Na+,210,StevenAbbott
CO2Na,C9,Na+,100,StevenAbbott
CO2Na,C10,Na+,50,StevenAbbott
CO2Na,C11,Na+,24,StevenAbbott
CO2Na,C12,Na+,12,StevenAbbott
CO2Na,C13,Na+,7,StevenAbbott
CO2Na,C15,Na+,2,StevenAbbott
CO2Na,C17,Na+,0.5,StevenAbbott
NH3Cl,C10,Cl-,54,StevenAbbott
NH3Cl,C12,Cl-,14.7,StevenAbbott
NH3Cl,C14,Cl-,2.8,StevenAbbott
NH3Cl,C16,Cl-,1.1,StevenAbbott
NH3Cl,C18,Cl-,0.25,StevenAbbott
NMe3Br,C8,Br-,290,StevenAbbott
NMe3Br,C9,Br-,139,StevenAbbott
NMe3Br,C10,Br-,60,StevenAbbott
NMe3Br,C11,Br-,36,StevenAbbott
NMe3Br,C12,Br-,13.3,StevenAbbott
NMe3Br,C14,Br-,3.41,StevenAbbott
NMe3Br,C16,Br-,1,StevenAbbott
NMe3Br,C18,Br-,0.29,StevenAbbott
OSO3Na,C7,Na+,240,StevenAbbott
OSO3Na,C8,Na+,130,StevenAbbott
OSO3Na,C9,Na+,65,StevenAbbott
OSO3Na,C10,Na+,33,StevenAbbott
OSO3Na,C11,Na+,16,StevenAbbott
OSO3Na,C12,Na+,8,StevenAbbott
OSO3Na,C13,Na+,4,StevenAbbott
OSO3Na,C14,Na+,2.2,StevenAbbott
OSO3Na,C15,Na+,1.2,StevenAbbott
OSO3Na,C16,Na+,0.58,StevenAbbott
OSO3Na,C17,Na+,0.3,StevenAbbott
OSO3Na,C18,Na+,0.23,StevenAbbott
SO3Na,C8,Na+,155,StevenAbbott
SO3Na,C10,Na+,41,StevenAbbott
SO3Na,C12,Na+,11,StevenAbbott
SO3Na,C13,Na+,3.5,StevenAbbott
SO3Na,C14,Na+,2,StevenAbbott
SO3Na,C15,Na+,0.66,StevenAbbott
SO3Na,C16,Na+,0.54,StevenAbbott
SO3Na,C17,Na+,0.21,StevenAbbott
SO3Na,C18,Na+,0.19,StevenAbbott
SO3Na,C6Ph,Na+,37,StevenAbbott
SO3Na,C7Ph,Na+,21,StevenAbbott
SO3Na,C8Ph,Na+,14,StevenAbbott
SO3Na,C9Ph,Na+,6.5,StevenAbbott
SO3Na,C10Ph,Na+,3.1,StevenAbbott
SO3Na,C12Ph,Na+,1.2,StevenAbbott
SO3Na,C14Ph,Na+,0.66,StevenAbbott
PyBr,C8Py,Br-,193,StevenAbbott
PyBr,C10Py,Br-,85,StevenAbbott
PyBr,C11Py,Br-,42,StevenAbbott
PyBr,C12Py,Br-,11.4,StevenAbbott
PyBr,C14Py,Br-,2.9,StevenAbbott
PyBr,C16Py,Br-,0.6,StevenAbbott
Ethoxylates,C8E1,N/A,4.9,StevenAbbott
Ethoxylates,C8E3,N/A,7.5,StevenAbbott
Ethoxylates,C10E3,N/A,0.6,StevenAbbott
Ethoxylates,C7E4,N/A,40,StevenAbbott
Ethoxylates,C8E4,N/A,11.7,StevenAbbott
Ethoxylates,C10E4,N/A,0.68,StevenAbbott
Ethoxylates,C8E5,N/A,11,StevenAbbott
Ethoxylates,C10E5,N/A,0.81,StevenAbbott
Ethoxylates,C12E5,N/A,0.064,StevenAbbott
Ethoxylates,C8E6,N/A,9.9,StevenAbbott
Ethoxylates,C10E6,N/A,0.9,StevenAbbott
Ethoxylates,C12E6,N/A,0.087,StevenAbbott
Ethoxylates,C14E6,N/A,0.01,StevenAbbott
Ethoxylates,C12E7,N/A,0.08,StevenAbbott
Ethoxylates,C16E7,N/A,0.017,StevenAbbott
Ethoxylates,C8E8,N/A,9.7,StevenAbbott
Ethoxylates,C10E8,N/A,1,StevenAbbott
Ethoxylates,C11E8,N/A,0.3,StevenAbbott
Ethoxylates,C12E8,N/A,0.109,StevenAbbott
Ethoxylates,C13E8,N/A,0.027,StevenAbbott
Ethoxylates,C14E8,N/A,0.009,StevenAbbott
Ethoxylates,C15E8,N/A,0.0035,StevenAbbott
Ethoxylates,C16E8,N/A,0.0025,StevenAbbott
Ethoxylates,C10E9,N/A,1.3,StevenAbbott
Ethoxylates,C12E9,N/A,0.1,StevenAbbott
Ethoxylates,C16E9,N/A,0.0021,StevenAbbott
Ethoxylates,C12E12,N/A,0.14,StevenAbbott
Ethoxylates,C16E12,N/A,0.0023,StevenAbbott
Ethoxylates,C8PhE1,N/A,0.0495,StevenAbbott
Ethoxylates,C8PhE2,N/A,0.0765,StevenAbbott
Ethoxylates,C8PhE3,N/A,0.103,StevenAbbott
Ethoxylates,C8PhE4,N/A,0.13,StevenAbbott
Ethoxylates,C8PhE5,N/A,0.15,StevenAbbott
Ethoxylates,C8PhE6,N/A,0.21,StevenAbbott
Ethoxylates,C8PhE7,N/A,0.25,StevenAbbott
Ethoxylates,C8PhE8,N/A,0.28,StevenAbbott
Ethoxylates,C8PhE9,N/A,0.3,StevenAbbott
Ethoxylates,C9PhE9,N/A,0.11,StevenAbbott
Ethoxylates,C9PhE15,N/A,0.12,StevenAbbott
Ethoxylates,C9PhE20,N/A,0.16,StevenAbbott
Carboxylic Acid,C8,Na+,360,Pirika
Carboxylic Acid,C10,Na+,95,Pirika
Carboxylic Acid,C12,Na+,27.5,Pirika
Carboxylic Acid,C14,Na+,7.2,Pirika
Carboxylic Acid,C16,Na+,1.9,Pirika
Carboxylic Acid,C18,Na+,0.5,Pirika
NMe2NBzCl,C8,Cl-,57,NIST
NMe2NBzCl,C10,Cl-,23,NIST
NMe2NBzCl,C12,Cl-,3.6,NIST
NMe2NBzCl,C14,Cl-,0.51,NIST
NMe2NBzCl,C16,Cl-,0.13,NIST
NMe2NBzCl,C18,Cl-,0.029,NIST
SO3H,C13,H+,2.6,NIST
SO3H,C14,H+,1.32,NIST
SO3H,C15,H+,0.48,NIST
SO3H,C16,H+,0.28,NIST
SO3H,C17,H+,0.14,NIST
NH3Ac,C10,Ac-,40,NIST
NH3Ac,C12,Ac-,13,NIST
NH3Ac,C14,Ac-,4,NIST
NH3Ac,C16,Ac-,0.8,NIST
NH3Ac,C18,Ac-,0.3,NIST